...1,state_fips,state,state_name,date,weekday,cadt,visits,enctr,enctr_b,baseline,enctr_base,enctr_base_b,enctr_n,enctr_n_b,first_4,stayhome_23_25,stayhomeE,stayhomeDay,stayhomeS,mandate_date,sah_state,adopt_delay,positive,positiveIncrease,totalTestResults,totalTestResultsIncrease,hospitalized,hospitalizedIncrease,death,deathIncrease,changeVent,changeIcu,dailyDeathsr,dailyDeathr_hunmil,dailyHospitalr,dailyHospitalr_hunmil,popul2019est,popul2010,poppm2010,poppm2019,share_dem,share_rep,rep_state,gov_party,gov_gender,full_rep,demgov_repstate,rep_gov,fem_gov,pct_inlf,pct_unemp,pct_pub_trans,pct_wfh,pct_serv,pct_off,pct_nr,pct_trans,pct_ag_min,pct_cons,pct_mfg,pct_whole,pct_retail,pct_hlth,pct_ent_fd,largest_city_rank,largest_city_pop
11,2,AK, Alaska,2020-02-01,7,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,2020-03-29,1,10,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,NA,731545,710231,0.710231006145477,0.731544971466064,0.345957781445904,0.545900831557357,TRUE,rep,male,FALSE,FALSE,TRUE,FALSE,70.1058529747853,5.17067895347474,0.954234206487673,2.77363142725648,10.7109421072249,14.0935475008443,7.63562357709208,6.76381084708629,3.22511212645659,4.56572981505041,2.2397292515745,1.15617557349423,6.83223292204258,14.6657730382026,5.61830981725531,65,279428
12,2,AK, Alaska,2020-02-02,1,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,2020-03-29,1,10,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,NA,731545,710231,0.710231006145477,0.731544971466064,0.345957781445904,0.545900831557357,TRUE,rep,male,FALSE,FALSE,TRUE,FALSE,70.1058529747853,5.17067895347474,0.954234206487673,2.77363142725648,10.7109421072249,14.0935475008443,7.63562357709208,6.76381084708629,3.22511212645659,4.56572981505041,2.2397292515745,1.15617557349423,6.83223292204258,14.6657730382026,5.61830981725531,65,279428
13,2,AK, Alaska,2020-02-03,3,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,2020-03-29,1,10,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,NA,731545,710231,0.710231006145477,0.731544971466064,0.345957781445904,0.545900831557357,TRUE,rep,male,FALSE,FALSE,TRUE,FALSE,70.1058529747853,5.17067895347474,0.954234206487673,2.77363142725648,10.7109421072249,14.0935475008443,7.63562357709208,6.76381084708629,3.22511212645659,4.56572981505041,2.2397292515745,1.15617557349423,6.83223292204258,14.6657730382026,5.61830981725531,65,279428
14,2,AK, Alaska,2020-02-04,3,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,2020-03-29,1,10,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,NA,731545,710231,0.710231006145477,0.731544971466064,0.345957781445904,0.545900831557357,TRUE,rep,male,FALSE,FALSE,TRUE,FALSE,70.1058529747853,5.17067895347474,0.954234206487673,2.77363142725648,10.7109421072249,14.0935475008443,7.63562357709208,6.76381084708629,3.22511212645659,4.56572981505041,2.2397292515745,1.15617557349423,6.83223292204258,14.6657730382026,5.61830981725531,65,279428
15,2,AK, Alaska,2020-02-05,4,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,2020-03-29,1,10,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,NA,731545,710231,0.710231006145477,0.731544971466064,0.345957781445904,0.545900831557357,TRUE,rep,male,FALSE,FALSE,TRUE,FALSE,70.1058529747853,5.17067895347474,0.954234206487673,2.77363142725648,10.7109421072249,14.0935475008443,7.63562357709208,6.76381084708629,3.22511212645659,4.56572981505041,2.2397292515745,1.15617557349423,6.83223292204258,14.6657730382026,5.61830981725531,65,279428
16,2,AK, Alaska,2020-02-06,5,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,2020-03-29,1,10,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,NA,731545,710231,0.710231006145477,0.731544971466064,0.345957781445904,0.545900831557357,TRUE,rep,male,FALSE,FALSE,TRUE,FALSE,70.1058529747853,5.17067895347474,0.954234206487673,2.77363142725648,10.7109421072249,14.0935475008443,7.63562357709208,6.76381084708629,3.22511212645659,4.56572981505041,2.2397292515745,1.15617557349423,6.83223292204258,14.6657730382026,5.61830981725531,65,279428
17,2,AK, Alaska,2020-02-07,6,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,2020-03-29,1,10,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,NA,731545,710231,0.710231006145477,0.731544971466064,0.345957781445904,0.545900831557357,TRUE,rep,male,FALSE,FALSE,TRUE,FALSE,70.1058529747853,5.17067895347474,0.954234206487673,2.77363142725648,10.7109421072249,14.0935475008443,7.63562357709208,6.76381084708629,3.22511212645659,4.56572981505041,2.2397292515745,1.15617557349423,6.83223292204258,14.6657730382026,5.61830981725531,65,279428
18,2,AK, Alaska,2020-02-08,7,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,2020-03-29,1,10,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,NA,731545,710231,0.710231006145477,0.731544971466064,0.345957781445904,0.545900831557357,TRUE,rep,male,FALSE,FALSE,TRUE,FALSE,70.1058529747853,5.17067895347474,0.954234206487673,2.77363142725648,10.7109421072249,14.0935475008443,7.63562357709208,6.76381084708629,3.22511212645659,4.56572981505041,2.2397292515745,1.15617557349423,6.83223292204258,14.6657730382026,5.61830981725531,65,279428
19,2,AK, Alaska,2020-02-09,1,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,2020-03-29,1,10,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,NA,731545,710231,0.710231006145477,0.731544971466064,0.345957781445904,0.545900831557357,TRUE,rep,male,FALSE,FALSE,TRUE,FALSE,70.1058529747853,5.17067895347474,0.954234206487673,2.77363142725648,10.7109421072249,14.0935475008443,7.63562357709208,6.76381084708629,3.22511212645659,4.56572981505041,2.2397292515745,1.15617557349423,6.83223292204258,14.6657730382026,5.61830981725531,65,279428
20,2,AK, Alaska,2020-02-10,3,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,2020-03-29,1,10,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,NA,731545,710231,0.710231006145477,0.731544971466064,0.345957781445904,0.545900831557357,TRUE,rep,male,FALSE,FALSE,TRUE,FALSE,70.1058529747853,5.17067895347474,0.954234206487673,2.77363142725648,10.7109421072249,14.0935475008443,7.63562357709208,6.76381084708629,3.22511212645659,4.56572981505041,2.2397292515745,1.15617557349423,6.83223292204258,14.6657730382026,5.61830981725531,65,279428
21,2,AK, Alaska,2020-02-11,3,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,2020-03-29,1,10,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,NA,731545,710231,0.710231006145477,0.731544971466064,0.345957781445904,0.545900831557357,TRUE,rep,male,FALSE,FALSE,TRUE,FALSE,70.1058529747853,5.17067895347474,0.954234206487673,2.77363142725648,10.7109421072249,14.0935475008443,7.63562357709208,6.76381084708629,3.22511212645659,4.56572981505041,2.2397292515745,1.15617557349423,6.83223292204258,14.6657730382026,5.61830981725531,65,279428
